@relation R_data_frame

@attribute ICO numeric
@attribute year numeric
@attribute def numeric
@attribute class numeric
@attribute acid.test numeric
@attribute debt.ratio numeric
@attribute asset.turn numeric
@attribute returns numeric

@data
49448811,2012,0,1,2.330699,0.170295,1.426795,0.134006
49450981,2012,0,1,3.839243,0.142849,1.075565,0.210079
49681311,2012,0,1,0.504386,0.493669,1.859057,0.072025
49787195,2012,0,1,4.316223,0.083195,1.199558,-0.000929
49788795,2012,0,1,5.11188,0.233939,0.395315,0.051799
49971034,2012,0,1,0.970504,0.535957,1.245678,0.081154
543551,2012,0,1,0.42845,0.600106,1.693856,0.213964
544752,2012,0,1,0.367644,0.547408,1.170954,0.073116
545503,2012,0,1,0.668993,0.806969,0.893532,0.017364
554812,2012,0,1,0.512169,0.828983,3.432338,0.036138
570036,2012,0,1,3.281923,0.168556,1.139645,0.009375
60108436,2012,0,1,5.549582,0.193918,0.743036,0.050107
60108576,2012,0,1,0.489761,0.919497,0.809897,0.051836
60697598,2012,0,1,0.755311,0.388533,1.572827,0.064685
60704641,2012,1,1,0.222991,1.302635,1.364217,-0.150088
60708361,2012,0,1,0.933275,0.478895,1.725904,0.214201
60740582,2012,0,1,0.826087,0.203273,0.613612,0.134698
60778997,2012,0,1,0.766618,0.669776,1.749723,0.052948
60779926,2012,1,1,0.387283,0.644746,0.598265,0.047359
60913037,2012,0,1,1.125996,0.317482,0.857544,0.113987
60933461,2012,0,1,1.812287,0.302913,0.072397,0.044356
61329568,2012,0,1,0.82721,0.430648,0.991026,0.004221
61500941,2012,0,1,7.717847,0.073376,2.600223,0.308016
61974170,2012,0,1,4.198436,0.36018,1.497564,0.036782
61976865,2012,0,1,1.787603,0.184815,0.888767,0.04386
62029959,2012,0,1,5.570766,0.085238,0.624886,0.099874
62303449,2012,0,1,0.273305,0.725984,1.083434,0.047139
62503529,2012,0,1,1.059909,0.390546,1.534332,0.004657
62503758,2012,0,1,0.602479,0.571568,1.037278,0.051933
63323044,2012,0,1,1.481068,0.292428,1.094151,0.231394
63492920,2012,0,1,1.122205,0.405047,0.140951,0.019122
64087646,2012,0,1,9.408202,0.04756,1.184295,0.126827
64356043,2012,0,1,0.712017,0.390396,3.743864,-0.233087
64361462,2012,0,1,0.473799,0.861162,4.111275,0.024264
64610225,2012,0,1,4.817089,0.283845,1.007982,0.044574
64788342,2012,0,1,2.596263,0.458854,1.324725,0.134681
64789225,2012,0,1,5.381545,0.164412,1.632077,-0.082623
64830942,2012,0,1,0.976424,0.455621,2.401062,0.06676
884880,2012,0,1,0.464443,0.604788,5.283242,0.173071
