@relation 'R_data_frame-weka.filters.unsupervised.attribute.NumericToNominal-R3-weka.filters.unsupervised.attribute.Reorder-R1,2,4,5,6,7,8,3-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R1'

@attribute acid.test numeric
@attribute debt.ratio numeric
@attribute asset.turn numeric
@attribute returns numeric
@attribute def {0,1}

@data
1.51756,0.598542,2.836761,0.367092,0
0.414697,0.962525,1.002768,0.023928,0
0.374055,0.362021,0.374656,0.014867,0
0.66799,0.939252,1.276637,-0.112579,0
0.757432,0.593009,1.998905,-0.014351,1
0.48616,0.542203,1.339552,0.052842,0
1.249495,0.796342,0.573665,-0.007462,0
0.493065,0.931802,1.126661,0.090878,0
0.395425,1.302635,0.337079,-0.146067,0
1.144931,0.868662,4.77811,-0.071094,0
0.993031,0.763772,3.014006,0.112045,0
2.286996,0.420263,1.628518,-0.420331,0
1.471735,0.67947,2.119205,0.042384,0
1.965486,0.308367,3.015146,0.472571,0
9.408202,0.036481,0.778185,0.062589,0
0.522857,0.845489,1.61544,-0.005803,1
1.023546,0.97357,5.233904,0.006859,0
0.33398,0.748393,2.20356,0.225493,0
1.09957,0.581243,2.280941,0.442178,0
1.207506,0.636236,4.509831,0.22191,0
3.022658,0.296493,2.22307,0.442759,0
3.235474,0.474756,4.612489,0.104517,0
1.247927,0.756424,5.283242,0.201358,0
2.16537,0.814653,2.472307,0.107719,0
0.995997,0.792905,2.336517,0.084007,0
0.577495,0.901897,3.345287,0.072515,0
0.707889,0.961066,3.602459,-0.07582,0
0.902614,0.870029,2.147552,0.036451,0
0.892443,0.728763,0.0231,0.157973,0
1.939556,0.568319,2.62757,0.48156,0
1.902256,0.822823,1.243243,0.003003,0
1.919511,0.170101,1.724176,0.011816,0
1.053428,0.383034,1.228664,0.090472,0
1.413832,0.800772,5.283242,0.152578,0
0.654436,0.446519,0.442893,0.096991,0
1.121675,0.850838,3.192548,-0.010378,1
2.438406,0.852235,0.390128,0.028538,0
1.882743,0.859529,3.766928,0.166704,0
0.602181,1.302635,2.800859,-0.145233,1
2.150518,0.662105,0.198778,0.405236,0
0.047236,1.302635,0.320562,-0.420331,1
1.244014,0.757819,3.607057,0.032077,0
0.868065,0.844761,4.866734,0.101933,0
1.454954,0.841792,1.295254,0.13458,0
0.378033,0.708881,4.632896,0.05566,0
0.461832,1.142407,1.656858,-0.039937,0
1.967611,0.416995,0.391109,0.024761,0
1.159194,0.861934,1.801958,0.108201,0
0.513957,0.70955,3.392875,0.023998,0
0.896803,0.745204,0.9326,-0.001449,0
3.349226,0.123701,0.860029,0.031254,0
2.554152,1.007445,0.112603,0.026909,1
1.202128,0.749004,2.23506,0.139442,0
0.669251,0.93289,0.159316,0.030989,0
1.42274,0.321886,2.303431,0.292993,0
-0.043878,0,-0.000554,0.40099,0
2.177409,0.962352,0.323406,0.042177,0
0.469088,1.185831,0.193353,-0.19934,0
7.259172,0.656423,0.374878,0.078415,0
0.729052,0.399408,2.258638,0.117078,0
0.417924,0.88602,4.816349,0.05517,0
1.490566,0.670886,5.283242,0.084388,0
1.231516,0.408255,1.581791,0.265841,0
1.702251,0.502259,4.243253,0.184409,0
1.271983,0.786174,0.808502,0.1155,0
0.892211,0.690214,1.498789,0.068596,0
0.132722,0.999389,0.015892,-0.113081,1
0.55556,1.022451,2.501686,-0.044261,0
0.834752,0.915286,4.457009,0.091295,0
0.829038,0.929712,5.283242,0.059505,0
3.561421,0.07743,0.337756,0.018739,0
0.126172,1.279541,1.055556,-0.286596,1
3.875,0.258065,0.695341,0.039427,0
0.470163,0.926298,1.28392,-0.076214,1
2.845611,0.10222,1.297252,-0.073596,0
9.408202,1.050847,1.757727,-0.057584,0
1.049835,0.780932,1.540319,0.010085,0
1.353223,0.318683,1.093553,0.031261,0
0.455105,0.789069,2.29919,0.044939,1
1.662646,0.51569,0.992936,0.08884,0
2.857053,0.140084,1.300526,0.1032,0
1.157418,0.315068,0.656837,-0.063891,0
2.586551,0.187018,2.72765,0.212999,0
0.401238,0.963402,2.093057,-0.031573,1
1.235188,0.30275,1.013273,0.022631,0
1.179596,0.388977,0.595946,0.007674,0
1.377693,0.441273,0.711768,-0.081069,0
0.367008,0.649032,0.47295,0.017182,0
0.40899,0.774401,1.265138,0.026048,0
0.778592,0.650209,1.697785,0.052197,0
2.720356,0.212692,1.540767,0.051825,0
0.787767,0.940517,3.744774,0.085201,0
0.541331,0.463503,1.328399,0.066077,0
0.654226,0.61821,1.111786,0.032722,0
1.616735,0.306468,2.448226,0.096242,0
0.848571,0.323101,1.145278,0.010822,0
3.203151,0.196729,1.379421,0.126658,0
1.158322,0.587644,1.281944,0.087973,0
0.540744,0.601091,0.844721,0.012089,1
0.377589,0.753528,1.141533,0.031731,0
1.03541,0.602443,0.874926,0.103528,0
0.766329,0.565655,1.419566,0.044694,0
0.38351,0.770226,1.626306,0.047526,0
1.173029,0.612271,2.629183,0.139727,0
0.45603,0.640246,1.597177,-0.140246,1
4.150896,0.122694,1.467839,0.091642,0
0.602066,0.578849,0.504542,0.022385,0
1.706105,0.575957,0.539532,0.027107,0
2.713483,0.202826,3.985187,0.499772,0
9.408202,0.115013,0.313394,0.164734,0
2.129525,0.478372,5.257989,0.319644,0
0.71993,0.936372,2.451605,0.063115,0
3.533774,0.150712,0.210831,0.140622,0
2.359063,0.830157,1.670161,-0.055803,0
3.472136,0.146821,1.205938,0.04311,0
2.264965,0.580041,1.024479,0.090971,0
3.378249,0.220472,1.493898,0.148296,0
2.203215,0.158991,0.717013,0.001905,0
2.206004,0.354722,0.820615,0.075031,0
0.871324,0.561021,0.922639,-0.043456,1
0.272255,0.488138,1.130486,0.309609,0
5.078838,0.077671,0.871562,0.05931,0
1.590553,0.447565,2.46171,0.131466,0
5.072394,0.072926,0.836941,0.098278,0
1.751963,0.729185,1.865899,0.02942,0
1.744659,0.196884,1.527038,0.060496,0
2.671522,0.174315,1.154079,0.225526,0
0.7301,0.59029,1.377957,0.035109,0
5.098703,0.074306,1.183859,0.052648,0
2.945529,0.282178,0.414585,0.095742,0
9.408202,0.089495,0.406865,0.158644,0
0.61237,0.596186,2.536939,0.079602,0
0.93378,0.508985,1.07351,0.141981,0
0.582883,0.778537,1.256073,0.100216,0
0.550029,0.410893,1.276321,0.102858,0
0.655512,0.79306,0.951806,-0.037298,0
0.469731,0.811303,3.688327,0.039313,0
4.658292,0.140225,0.939323,0.034055,0
9.408202,0.237396,0.815709,0.02367,0
0.534165,0.955385,0.707968,-0.033797,0
0.738055,0.429025,1.572802,0.067218,0
0.310385,1.302635,1.181404,-0.131879,1
0.472431,0.698699,1.138097,0.060826,0
1.265704,0.778482,4.945906,0.019635,0
0.618239,0.26471,0.593919,0.308731,0
0.781033,0.736165,1.688994,0.052966,0
0.451611,0.672277,0.476604,0.042769,0
0.828009,0.475457,0.711137,0.03732,0
0.861635,0.776269,2.426695,-0.1511,1
2.351351,0.300723,0.047008,0.036281,0
1.149795,0.453734,1.787095,0.209708,0
7.240758,0.091148,2.554176,0.468827,0
0.430798,0.764702,1.53557,0.103001,0
1.242513,0.368357,1.22729,-0.024595,0
1.220938,0.194566,0.810747,0.037231,0
6.176871,0.080063,0.995119,0.096994,0
0.524756,0.725798,1.568519,0.095321,0
1.121739,0.389973,1.566339,-0.005183,0
0.593695,0.632076,0.952183,0.013611,0
1.270814,0.45833,0.539812,-0.000946,0
0.636018,0.827589,1.817643,0.040474,0
1.280293,0.267413,1.591403,0.184219,0
1.565023,0.427758,0.062762,-0.095281,0
7.001934,0.130489,1.138224,0.251996,0
1.201143,0.470389,2.030166,-0.002686,0
0.363903,0.849752,4.31959,0.042533,0
3.529407,0.358701,1.305926,0.077878,0
1.773511,0.502174,1.24459,0.109889,0
0.103609,1.302635,5.283242,-0.420331,0
0.968795,0.485301,2.408395,0.050045,0
0.451309,0.764083,5.283242,0.150276,0
