@relation 'data10-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,1'

@attribute acid.test numeric
@attribute debt.ratio numeric
@attribute asset.turn numeric
@attribute returns numeric
@attribute def {0,1}

@data
0.75232,0.947574,1.326262,0.032675,0
0.068162,1.302635,0.016861,-0.420331,1
1.440758,0.694079,3.803728,0.111842,0
0.535909,0.832642,5.005654,0.12288,0
9.408202,1.004291,0.011033,-0.026113,0
1.193839,0.837634,1.874764,0.054751,0
0.596479,0.719642,2.549292,-0.187981,0
1.196135,0.660953,0.823137,0.019352,1
3.918361,0.104929,0.851451,-0.020029,0
9.408202,0.998448,0.211123,0.018902,0
0.546828,0.905919,4.934656,0.057475,0
1.574789,0.263207,2.070775,0.181401,0
-0.043878,0,-0.000554,0.534852,1
1.472222,0.264141,2.571389,0.084294,0
0.585014,0.912105,3.775977,0.083658,0
1.212121,0.825,0.719444,0.05,0
1.957266,0.468131,2.047577,0.421292,0
7.4,0.109375,0.75625,0.3375,0
2.991364,0.141417,1.197348,-0.018826,0
0.760062,0.889098,4.3226,0.075685,0
0.913438,0.766446,1.459746,0.071894,0
2.249982,0.327641,1.230962,0.160313,0
0.662965,0.743204,2.892718,0.066505,0
1.62212,0.514969,0.91318,0.084984,0
3.182133,0.128727,1.352466,0.088406,0
0.993927,0.300391,0.617434,-0.116169,0
2.586551,0.187018,2.72765,0.212999,0
0.431394,0.907235,2.137448,0.037777,0
1.329128,0.383097,0.958495,0.027283,0
1.085147,0.397308,0.680231,-0.066917,0
1.707595,0.422768,0.8166,0.142615,0
1.215455,0.623739,0.497379,-0.000857,0
0.35729,0.758565,1.096887,0.02863,0
0.65559,0.586759,2.041061,0.071024,0
2.565999,0.224483,1.505201,-0.105015,0
0.517246,0.586159,2.425962,0.002817,0
0.590459,0.940534,3.716978,0.088084,0
0.766387,0.378951,1.407027,0.123009,0
0.59698,0.649292,0.792478,0.023587,0
1.565414,0.38489,2.239201,0.100117,0
0.729932,0.319711,1.152468,0.016941,0
3.313772,0.168398,1.517418,0.10911,0
0.464097,0.658684,0.935558,0.117543,0
0.593914,0.601866,1.016262,0.024737,1
1.477636,0.677207,1.062728,0.035491,0
1.229316,0.382985,1.930093,0.074435,0
1.777778,0.618926,2.300256,0.272634,0
0.974941,0.594475,1.123803,0.16129,0
0.665165,0.636691,1.782216,0.028541,0
0.757687,0.572118,1.067351,0.020395,0
0.728368,0.669269,2.680204,0.076676,0
0.757576,0.568971,4.195186,0.101296,0
0.461973,0.561519,1.408663,-0.16447,1
2.665277,0.163444,1.651732,0.119321,0
1.066506,0.509587,0.402661,0.034998,0
1.241636,0.493431,0.672014,0.051882,0
0.018762,1.302635,0.081542,0.534852,0
1.360708,0.568402,2.891593,0.179626,0
3.337063,0.250533,0.276369,0.153875,0
5.27921,0.336105,3.86782,0.534852,0
0.80877,0.942148,2.256685,0.057215,0
3.086418,0.165556,1.278079,0.163024,0
2.330773,0.867858,2.577735,0.052414,0
2.382758,0.781979,1.05006,0.06244,0
0.712795,0.622599,0.938026,0.066896,0
2.505505,0.30135,0.000026,0.01729,0
1.468671,0.175709,0.690866,-0.033395,0
1.373554,0.404921,0.770127,0.017589,0
1.065305,0.355956,0.467626,-0.090951,0
0.087379,0.762489,0.667177,0.057922,0
0.754376,0.449995,0.350051,0.058848,0
4.556374,0.084122,0.839748,0.064963,0
1.493458,0.413278,2.98037,0.115357,0
4.790754,0.151617,0.732188,0.123767,0
3.586311,0.762336,2.122491,-0.004907,0
2.782242,0.256941,1.269067,0.227845,0
2.329219,0.241563,1.00863,0.159552,0
1.559361,0.532754,1.014133,0.014837,0
4.548013,0.074319,1.124239,-0.076877,0
2.654667,0.303603,0.313368,0.061718,0
5.276522,0.17137,1.1735,0.255502,0
0.986394,0.50465,2.320952,0.038879,0
1.405114,0.462996,1.420738,0.163806,0
1.013821,0.802094,1.304144,0.122973,0
0.712348,0.429803,1.127725,0.079769,0
0.848828,0.706273,1.511404,0.036326,0
0.386722,0.789053,3.257472,0.038703,0
4.85591,0.127605,0.943307,0.026577,0
9.408202,0.35153,0.761491,0.080972,0
0.704335,0.897057,0.688356,0.021164,0
0.726605,0.465355,1.310826,0.124365,0
0.220389,1.302635,2.698408,0.186754,0
1.328626,0.535657,1.77535,0.099865,0
1.097176,0.904379,2.800178,0.074237,0
1.011537,0.290578,0.556563,0.247531,0
0.871401,0.76127,1.741703,0.020196,0
0.67275,0.626032,0.593194,0.046333,0
0.673031,0.743591,1.081399,0.108055,0
1.100154,0.295594,0.960181,0.112055,0
1.153607,0.66806,2.129917,0.042706,0
1.101904,0.343408,0.146396,0.023911,0
1.06639,0.505794,2.425975,0.093752,0
6.657944,0.091447,2.903725,0.49209,0
1.274421,0.155505,0.124885,0.174197,0
0.709681,0.786897,1.718487,0.135682,0
1.237223,0.300326,1.199031,0.010189,0
1.293325,0.197136,0.840432,0.143753,0
2.699316,0.103125,0.832768,0.072859,0
0.96352,0.700652,1.437591,0.131185,0
1.085726,0.416264,1.510492,0.069166,0
0.870605,0.418101,1.118574,0.02428,0
1.945308,0.47957,0.494313,0.363766,0
0.431784,0.952372,1.721252,-0.068493,0
1.038997,0.38345,1.153511,0.084545,0
2.512612,0.578843,0.019198,0.083527,0
1.866667,0.518784,1.765116,0.292487,0
1.446149,0.2878,2.525879,0.024541,0
0.462828,0.884094,4.568517,-0.045909,0
4.573976,0.299154,1.205057,-0.035198,0
1.454032,0.50526,1.207188,0.190052,0
0.089184,0.882063,2.522117,0.031081,0
1.040802,0.518283,1.993294,0.031741,0
1.672821,0.258926,1.942975,-0.039301,0
0.954978,0.992231,1.361594,0.358217,0
0.357394,0.875575,4.728319,0.110086,0
