sample	value
1633	0.1179
1634	0.05135
1635	0.1824
1636	0.1229
1637	0.03681
1638	0.04825
1639	0.1328
1640	0.09183
1641	0.1092
1642	0.08826
1643	0.08834
1644	0.07121
1645	0.1224
1646	0.1096
1647	0.09314
1648	0.07191
1649	0.1189
1650	0.1195
1651	0.03457
1652	0.02874
1653	0.09525
1654	0.093
1655	0.1136
1656	0.03586
1657	0.04676
1658	0.03292
1659	0.1181
1660	0.1194
1661	0.03084
1662	-0.008563
1663	0.06651
1664	0.08302
1665	0.06299
1666	0.07708
1667	0.07258
1668	0.03613
1669	0.02759
1670	-0.03036
1671	0.06737
1672	-0.02497
1673	0.1117
1674	0.07847
1675	-0.001549
1676	0.08086
1677	0.02632
1678	0.09875
1679	8.201E-4
1680	0.01498
1681	0.07784
1682	0.0111
1683	-0.00407
1684	0.1384
1685	0.02222
1686	0.1208
1687	0.07561
1688	0.07401
1689	0.0649
1690	0.08354
1691	0.08829
1692	0.08113
1693	0.06063
1694	0.1189
1695	0.04194
1696	0.03927
1697	0.1042
1698	0.02352
1699	0.02819
1700	0.06765
1701	0.05898
1702	0.06652
1703	0.06725
1704	0.03804
1705	0.0851
1706	0.02704
1707	0.03227
1708	0.1002
1709	0.1279
1710	0.1412
1711	0.07392
1712	0.1149
1713	0.03528
1714	0.04049
1715	0.04729
1716	0.1229
1717	0.0941
1718	0.07124
1719	0.1004
1720	0.0594
1721	0.05912
1722	0.01552
1723	0.008222
1724	0.08598
1725	0.1211
1726	0.1062
1727	0.04562
1728	0.03513
1729	0.1226
1730	0.01962
1731	0.03951
1732	0.0322
1733	0.07105
1734	0.108
1735	0.1544
1736	0.162
1737	0.09994
1738	0.07823
1739	0.1175
1740	0.09426
1741	0.05826
1742	-3.803E-4
1743	0.05371
1744	0.1139
1745	0.05017
1746	0.105
1747	0.04324
1748	0.06719
1749	0.04806
1750	0.03098
1751	0.07393
1752	0.07194
1753	0.04891
1754	0.1146
1755	0.05424
1756	0.09069
1757	0.06004
1758	0.1388
1759	0.04172
1760	0.0223
1761	0.04802
1762	0.07945
1763	0.1006
1764	0.06044
1765	-0.01925
1766	0.1062
1767	0.1349
1768	0.1293
1769	0.02612
1770	0.1294
1771	0.09138
1772	0.03152
1773	0.01745
1774	0.04663
1775	0.1171
1776	0.1066
1777	0.04639
1778	0.08579
1779	0.06848
1780	0.02724
1781	0.07538
1782	0.06241
1783	0.06977
1784	0.0157
1785	0.02135
1786	0.1682
1787	0.04676
1788	0.08348
1789	0.1854
1790	0.04261
1791	0.0882
1792	0.0336
1793	0.07096
1794	0.1307
1795	0.03003
1796	0.01359
1797	0.007852
1798	0.1506
1799	0.08529
1800	0.09153
1801	0.09707
1802	0.06323
1803	0.07447
1804	0.03706
1805	0.05373
1806	0.01928
1807	0.0635
1808	0.08934
1809	0.06178
1810	0.1048
1811	0.03478
1812	0.05502
1813	0.08307
1814	0.07814
1815	0.001103
1816	0.06067
1817	0.0484
1818	0.02579
1819	0.06703
1820	0.07387
1821	0.05869
1822	0.09517
1823	0.04823
1824	0.04686
1825	0.03345
1826	0.1132
1827	0.04655
1828	0.1133
1829	0.1427
1830	0.04725
1831	0.1269
1832	0.09665
1833	0.09839
1834	0.08015
1835	0.08979
1836	0.04554
1837	0.0795
1838	0.02113
1839	0.09888
1840	-0.02412
1841	0.02248
1842	0.07599
1843	0.1714
1844	0.0755
1845	0.09723
1846	0.0174
1847	0.06472
1848	0.09713
1849	0.108
1850	0.05523
1851	0.03931
1852	0.0789
1853	0.07933
1854	0.03955
1855	0.03984
1856	0.07134
1857	0.02429
1858	0.07519
1859	0.105
1860	0.03955
1861	0.05198
1862	0.06832
1863	0.05447
1864	0.06622
1865	0.03941
1866	0.04247
1867	0.1035
1868	0.1045
1869	0.06466
1870	0.006327
1871	0.07836
1872	0.01794
1873	0.1055
1874	0.1043
1875	0.04039
1876	0.06306
1877	0.00552
1878	0.1018
1879	0.04599
1880	0.0192
1881	0.06595
1882	0.07952
1883	0.05967
1884	0.05475
1885	0.1392
1886	0.1336
1887	0.02709
1888	0.0785
1889	0.09016
1890	0.0442
1891	0.1292
1892	-0.001563
1893	0.0409
1894	0.1095
1895	0.006281
1896	0.01623
1897	0.1131
1898	0.05378
1899	0.05673
1900	0.05714
1901	0.04338
1902	0.09735
1903	0.06809
1904	0.00222
1905	0.1476
1906	0.03454
1907	0.06617
1908	0.06147
1909	0.04103
1910	0.01775
1911	0.0219
1912	0.09884
1913	0.07908
1914	0.06256
1915	0.05421
1916	0.09167
1917	0.06444
1918	0.1786
1919	0.05478
1920	0.07385
1921	0.08071
1922	0.07724
1923	0.1045
1924	0.04961
1925	0.05243
1926	0.1146
1927	0.06262
1928	0.04997
1929	0.07533
1930	0.06929
1931	-2.435E-4
1932	0.1334
1933	0.08519
1934	0.09484
1935	0.07577
1936	0.1336
