ICO;DAT_OD;DAT_DO;POC_MESICU;AKTIVACELK;OBEZNAA;Z;VLASTNIJM;HVML;KZ;KBU;TZPZ;TZPVVAS;ZCPIMM;PROVHOSPV;
"IÈ firmy";"Zaèátek období";"Konec období";"Poèet mìsícù úèetní závìrky";"Aktiva celkem - tis. Kè";"Obìžná aktiva - tis. Kè";"Zásoby - tis. Kè";"Vlastní kapitál - tis. Kè";"Výsledek hospodaøení minulých let - tis. Kè";"Krátkodobé závazky - tis. Kè";"Krátkodobé bankovní úvìry - tis. Kè";"Tržby za prodej zboží - tis. Kè";"Tržby za prodej vlastních výrobkù a služeb - tis. Kè";"Zùstatková cena prodaného dlouhodobého majetku a materiálu - tis. Kè";"Provozní výsledek hospodaøení - tis. Kè";
"28764226";20100101;20101231;"12";2771;71;;1687;-38;1084;;;;;-240;
"28369564";20130101;20131231;"12";200;200;;200;;;;;;;;
"28369564";20120101;20121231;"12";200;200;;200;;;;;;;;
"28369564";20110101;20111231;"12";200;200;;200;;;;;;;;
"28369564";20100101;20101231;"12";200;200;;200;;;;;;;;
"28369564";20090101;20091231;"12";200;200;;200;;;;;;;;
"12090000";20130101;20131231;"12";16048;4053;777;5156;;1719;;;16406;;3961;
"12090000";20120101;20121231;"12";4814;2745;311;3450;;1236;;;14937;;3360;
"12090000";20110101;20111231;"12";4039;2339;373;2320;;1504;;;15647;5;3345;
"24778877";20130101;20131231;"12";688634;275808;42119;438393;403407;144856;13988;132735;1045463;136;20525;
"24778877";20120101;20121231;"12";733763;256478;46544;466827;442684;152645;4302;136562;1052460;250;21449;
"24778877";20110101;20111231;"12";829625;294212;51858;490151;476699;186397;37478;126388;1044774;3677;9347;
"24778877";20110101;20110101;"1";868625;296517;31919;559619;551705;194000;;;;;;
"24778877";20101220;20101231;"1";200;200;;194;;5;;;;;-6;
"28812051";20130101;20131231;"12";3809;2714;678;2102;390;1707;;10308;1486;;735;
"28812051";20120101;20121231;"12";5542;5223;634;1390;36;4152;;6699;;;432;
"28812051";20110103;20111231;"12";1777;1458;;1036;;741;;680;15;;44;
"28625480";20130101;20131231;"12";3141;2923;1272;87;1295;2319;709;562;9742;1386;-1306;
"28625480";20120101;20121231;"12";5945;4152;1270;1515;508;1709;;69;;140;1075;
"28625480";20110101;20111231;"12";2684;2641;1023;728;231;1813;;62;;268;424;
"28625480";20100525;20101231;" 7";1777;1723;460;457;;1320;;314;;131;302;
"27134369";20130101;20131231;"12";11465;3883;;-3304;1720;4505;454;;9708;1251;-4402;
"27134369";20120101;20121231;"12";12928;5847;17;1940;733;3317;128;;27910;1212;1952;
"27134369";20110101;20111231;"12";13823;7255;;954;-277;8566;1125;;28882;109;2107;
"27134369";20100101;20101231;"12";9233;6572;443;-67;1257;3295;;19;;34;-873;
"27134369";20090101;20091231;"12";28697;27321;22844;1477;1198;21807;;138;;326;1024;
"28563271";20120101;20121231;"12";9375;7966;945;4356;-1977;1623;;;19836;;642;
"28563271";20110101;20111231;"12";9607;7235;1095;4023;-5959;5584;;;21913;;4248;
"28563271";20100101;20101231;"12";6708;4337;718;41;-3012;3351;;;6508;;-2428;
"28563271";20090101;20091231;"12";8140;3915;886;988;;3208;;;;;-1384;
"28563271";20081020;20081231;"3";7856;2069;320;2864;;4759;;;;;-1036;
"27514234";20130101;20131231;"12";194;180;54;107;-118;78;;;100;;25;
"27514234";20120101;20121231;"12";129;116;39;82;-364;30;;;232;;247;
"27514234";20110101;20111231;"12";38;38;;-164;-389;193;;;294;;43;
"27514234";20100101;20101231;"12";162;162;106;-189;-20;342;;;426;;-325;
"27514234";20090101;20091231;"12";881;879;536;180;-196;688;;;2527;;226;
"27514234";20080101;20081231;"12";1241;1236;1215;4;-170;1228;;;181;;-12;
"28808428";20120101;20121231;"12";1965;1769;;1171;867;397;;;666;;407;
"28808428";20101111;20101231;"2";199;84;;199;;;;;;;;
"26088207";20130101;20131231;"12";4404;4027;1051;3239;2722;1118;;2;10382;;373;
"26088207";20120101;20121231;"12";4877;4846;1174;3541;2745;1282;;148;11245;;731;
"26088207";20110101;20111231;"12";6567;6402;1602;4965;4164;1480;;139;11558;;751;
"26088207";20100101;20101231;"12";6909;6257;1374;5584;4718;1090;;683;13610;;827;
"26088207";20090101;20091231;"12";8149;7447;1623;5738;1945;2038;;2019;16198;;4495;
"26088207";20080101;20081231;"12";4570;4377;972;2165;64;2369;;118;15731;;2470;
"25560590";20130101;20131231;"12";595;595;;445;61;150;;;3652;;198;
"25560590";20120101;20121231;"12";1023;1023;;359;94;664;;;5441;;51;
"25560590";20110101;20111231;"12";796;796;;319;;477;;;3965;;117;
"25560590";20100101;20101231;"12";231;231;;226;;5;;;28;;28;
"25560590";20090101;20091231;"12";203;203;;203;;;;;;;;
"25560590";20080101;20081231;"12";203;203;;203;;;;;;;;
"29210291";20120101;20121231;"12";262;210;;226;3;36;;483;;;8;
"29210291";20110101;20111231;"12";344;254;;224;15;120;;746;;;16;
"29210291";20100331;20101231;"10";242;142;;214;;28;;1041;;;21;
"49450387";20130101;20131231;"12";1;1;;1;-109;;;;;;;
"49450387";20120101;20121231;"12";1;1;;1;-109;;;;;;;
"49450387";20110101;20111231;"12";1;1;;-201;-311;202;;;;;;
"49450387";20100101;20101231;"12";1;1;;-201;-311;202;;;;;;
"49450387";20090101;20091231;"12";1;1;;-201;-311;202;;;;;;
"49450387";20080101;20081231;"12";1;1;;-201;-311;202;;;;;;
"47669381";20130101;20131231;"12";4492;3804;1617;3256;2455;1236;;;11105;;447;
"47669381";20120101;20121231;"12";4834;4136;937;3884;2170;950;;;14687;;1590;
"47669381";20110101;20111231;"12";4388;3451;1036;3498;1405;846;44;;17487;;2193;
"47669381";20100101;20101231;"12";4437;3512;1358;1915;941;1531;52;;12830;;797;
"47669381";20090101;20091231;"12";3677;3511;2085;2228;1461;765;;;;;435;
"47669381";20080101;20081231;"12";4002;3875;2540;2318;1511;1009;;;;;553;
"26110296";20120101;20121231;"12";936;936;;512;;424;;;;;513;
"26110296";20110101;20111231;"12";99;99;;48;-13;41;;;;;11;
"26110296";20100101;20101231;"12";44;44;;44;;;;;;;-6;
"27762025";20130101;20131231;"12";66643;42630;4073;50133;32741;8024;;1618;;;21985;
"27762025";20120101;20121231;"12";55076;31508;2095;33454;23330;7212;;374;39807;190;12802;
"27762025";20110101;20111231;"12";42529;13585;567;23550;11636;10935;;1370;35526;;14681;
"27762025";20100101;20101231;"12";27569;17008;1044;11856;9589;5557;;858;20798;;2845;
"27762025";20090101;20091231;"12";14760;10450;345;9809;8008;4951;;152;16179;;1825;
"27762025";20080101;20081231;"12";13176;8824;515;8228;5891;4948;;296;;;2633;
"28764170";20110101;20111231;"12";1546;1375;637;169;82;1377;;558;285;;-120;
"28764170";20100101;20101231;"12";340;218;;282;-12;58;;;285;;110;
"28764170";20090423;20091231;"9";188;184;;188;;;;;;;-17;
"63468611";20130101;20131231;"12";1289;1271;912;521;289;768;;4605;502;;82;
"63468611";20120101;20121231;"12";1290;1261;602;399;16;829;;5752;508;;397;
"63468611";20110101;20111231;"12";120;120;;120;40;;;;;;-14;
"28784855";20130101;20131231;"12";3162;1588;171;239;93;1711;;;5861;;-46;
"28784855";20120101;20121231;"12";1907;1462;171;313;82;1594;;;5291;;17;
"28784855";20110101;20111231;"12";1247;1091;;302;69;877;;;4498;;40;
"28784855";20100107;20101231;"12";912;912;;279;;633;;;3469;;102;
"48171514";20130101;20131231;"12";649173;410360;50235;548820;399112;87301;;43277;727945;3061;62760;
"48171514";20120101;20121231;"12";581583;336574;59576;481690;400482;93552;;39410;634409;105;6227;
"48171514";20110101;20111231;"12";566185;321352;46647;483057;382677;79117;;13078;669706;398;24408;
"48171514";20100101;20101231;"12";616642;376675;36105;134441;-32345;142931;;17385;630126;2962;38503;
"48171514";20090101;20091231;"12";489087;215953;36730;41871;-131;117333;;57951;468909;463;-30758;
"48171514";20080101;20081231;"12";507088;214841;53156;74084;91494;86055;;29495;532074;834;-42333;
"15063470";20110101;20111231;"12";12585;7708;1404;8128;5931;2910;;;;97;1231;
"15063470";20100101;20101231;"12";11735;7062;2804;7078;5778;4421;149;;24014;61;358;
"15063470";20090101;20091231;"12";10488;5068;1319;6925;7586;2197;;;;114;-510;
"15063470";20080101;20081231;"12";21360;17231;1170;8734;2258;10713;;;;52;5719;
"24272183";20130101;20131231;"12";195;192;;170;-22;25;;;;;-8;
"24272183";20120919;20121231;" 4";203;203;;178;;25;;;;;-22;
