ICO;FIRMA75;DAT_OD;POC_MESICU;AKTIVACELK;KP;VLASTNIJM;CIZIZDROJE;KZ;TZPZ;V;TZPVVAS;OHANIM;PROVHOSPV;NU;HOSPVZUO;
"I» firmy";"N·zev firmy";"ZaË·tek obdobÌ";"PoËet mÏsÌc˘ ˙ËetnÌ z·vÏrky";"Aktiva celkem - tis. KË";"Kr·tkodobÈ pohled·vky - tis. KË";"VlastnÌ kapit·l - tis. KË";"CizÌ zdroje - tis. KË";"Kr·tkodobÈ z·vazky - tis. KË";"Trûby za prodej zboûÌ - tis. KË";"V˝kony - tis. KË";"Trûby za prodej vlastnÌch v˝robk˘ a sluûeb - tis. KË";"Odpisy dlouhodobÈho nehmotnÈho a hmotnÈho majetku - tis. KË";"ProvoznÌ v˝sledek hospoda¯enÌ - tis. KË";"N·kladovÈ ˙roky - tis. KË";"V˝sledek hospoda¯enÌ za ˙ËetnÌ obdobÌ (+/-) - tis. KË";
"26047900";"Acco Czech, a.s.";20120101;"12";113364;43542;45441;65018;40240;;246984;244828;7083;-15244;586;-20611;
"26047900";"Acco Czech, a.s.";20110101;"12";110181;40471;66052;44092;40146;;295054;298200;8609;11585;665;7765;
"26047900";"Acco Czech, a.s.";20100101;"12";144083;36365;58287;85753;81045;;379422;379327;11521;14075;1289;8095;
"26047900";"Acco Czech, a.s.";20090101;"12";143690;36859;50192;93245;29934;;18663;18663;4112;-6888;;-6799;
"26047900";"Acco Czech, a.s.";20080101;"12";60744;7029;56991;3753;2179;;19920;19920;4032;5843;22;4214;
"25287249";"ACE Trade, s.r.o.";20130101;"12";84726;17195;41106;43620;16556;81691;30102;28332;3025;4757;838;2977;
"25287249";"ACE Trade, s.r.o.";20120101;"12";93802;23664;38130;55656;7750;90277;19478;18579;946;4855;287;3733;
"25287249";"ACE Trade, s.r.o.";20110101;"12";60276;20983;34396;25880;24591;78198;17550;17550;515;5410;1;3945;
"25287249";"ACE Trade, s.r.o.";20100101;"12";40170;15832;17230;22940;10390;84435;14283;14283;497;435;127;433;
"25287249";"ACE Trade, s.r.o.";20090101;"12";38403;15558;16797;21606;17106;71964;13993;13993;305;654;226;257;
"25287249";"ACE Trade, s.r.o.";20080101;"12";33192;13005;16540;16652;12652;99013;9614;9614;59;13183;277;10260;
"29069858";"Aclo KT, s.r.o.";20130101;"12";187;76;-78;262;262;;1308;;26;-36;;-50;
"29069858";"Aclo KT, s.r.o.";20120101;"12";221;108;-29;233;159;;2154;;51;-216;10;-246;
"29069858";"Aclo KT, s.r.o.";20110101;"12";566;303;218;337;325;;2743;;51;-316;10;-342;
"29069858";"Aclo KT, s.r.o.";20100101;"12";1121;370;560;561;519;;4448;;25;530;3;433;
"29069858";"Aclo KT, s.r.o.";20090611;"7";4;3;1;2;2;;3;3;;-1;;-1;
"28337212";"ADA ZlÌn - trading, s.r.o.";20130101;"12";351;235;241;110;110;1023;;;;19;;21;
"28337212";"ADA ZlÌn - trading, s.r.o.";20120101;"12";310;73;263;47;47;2128;;;;61;;43;
"28337212";"ADA ZlÌn - trading, s.r.o.";20110101;"12";755;716;242;513;513;1600;;;;32;;22;
"28337212";"ADA ZlÌn - trading, s.r.o.";20100101;"12";1074;1065;349;725;725;3636;;;;151;;111;
"28337212";"ADA ZlÌn - trading, s.r.o.";20090414;"9";1428;1299;266;1162;1162;3078;;;;79;;66;
"26120534";"Adelon, s.r.o.";20130101;"12";1950;1680;1489;459;459;13631;;;64;1514;14;1379;
"26120534";"Adelon, s.r.o.";20120101;"12";1800;1331;1195;530;489;19905;;;64;1225;25;1085;
"26120534";"Adelon, s.r.o.";20110101;"12";4850;4239;4301;549;460;14839;1831;1831;64;1919;24;1840;
"26120534";"Adelon, s.r.o.";20100101;"12";3005;2347;2461;544;406;17221;927;927;32;1315;6;1218;
"26120534";"Adelon, s.r.o.";20090101;"12";2321;1613;1855;466;466;18121;1162;1162;;816;2;728;
"26120534";"Adelon, s.r.o.";20080101;"12";2321;1613;849;1472;1472;21110;359;359;;1374;;1319;
"25347748";"Agras Bohdalov, a.s.";20130101;"12";186560;30425;153688;32872;7716;2006;106042;98842;14238;9562;713;7541;
"25347748";"Agras Bohdalov, a.s.";20120101;"12";174061;22284;146381;27680;6944;2338;97565;90766;14324;12308;866;10095;
"25347748";"Agras Bohdalov, a.s.";20110101;"12";177868;20432;136820;40955;7773;2332;95530;87294;13443;7352;886;5016;
"25347748";"Agras Bohdalov, a.s.";20100101;"12";170020;18286;131912;38108;6353;2470;84628;80412;11808;8878;800;6956;
"25347748";"Agras Bohdalov, a.s.";20090101;"12";164381;17135;124815;37966;5714;2627;74797;75066;11824;6081;941;4208;
"25347748";"Agras Bohdalov, a.s.";20080101;"12";170417;17312;120752;49049;7492;2918;95183;85168;12456;4573;1178;3424;
"47468424";"Agro druûstvo Sebranice";20130101;"12";349383;80939;145154;203680;50543;;161003;172864;23381;21366;2919;15336;
"47468424";"Agro druûstvo Sebranice";20120101;"12";310816;79655;130492;180253;60577;;179731;230796;21894;23946;2905;17538;
"47468424";"Agro druûstvo Sebranice";20110101;"12";269514;41258;113506;155830;59363;;122781;135981;20210;6033;2629;3071;
"47468424";"Agro druûstvo Sebranice";20100101;"12";226044;24999;110855;115189;22739;;89190;91019;18952;7911;2560;4895;
"47468424";"Agro druûstvo Sebranice";20090101;"12";219544;14713;106568;112976;11096;;80908;78252;20124;3548;3132;-198;
"47468424";"Agro druûstvo Sebranice";20080101;"12";220429;13745;105129;115300;12768;;95464;88792;18571;7100;4127;3144;
