"year";"ICO";"AKTIVACELK";"ebit";"ebitda";"financial.expanses";"sales"
2008;26120534;2321;1107.35979848275;1107.35979848275;65.3497984827514;21469
2008;60779926;31348;1313.94;3408.94;772;29014
2008;25435434;62631;-21112;-20663;399;388270
2008;26756102;3760;571.22;623.22;4;8503
2008;27973069;23623;-7226.43397201302;-7226.43397201302;772.566027986984;1131
2008;26072351;1505;-10.9487337844909;-9.9487337844909;74.0512662155091;15487
2008;27462625;15641;343.95;540.95;103;28253
2008;25347942;260530;7841.74;13595.74;4835;346808
2008;25026364;57199;4273.17;8446.17;463;112271
2008;112402;121243;3113.5;12509.5;1810;57649
2008;27125149;206391;1208;20970;1838;235564
2008;60708361;24463;4246.62;5995.62;314;701
2008;48208051;20899;436;4648;462;17728
2008;42194920;2789328;142871.41;276527.41;26758;1741892
2008;48171514;507088;-81264;-48365;25205;561569
2008;25599658;2367;47;111;100;10340
2008;25961624;13402;594.77;853.77;308;23334
2008;27762025;13176;1892.0976650086;2680.0976650086;219.667665008597;296
2008;27217035;6983;624.875060374963;696.875060374963;337.315060374963;36709
2008;26889901;5865;-15.8473655862292;-14.8473655862292;203.152634413771;20633
2008;25209655;4452;131.203521049559;493.203521049559;94.0735210495586;4152
2008;62503529;49671;1335.7;3024.7;601;118225
2008;49813994;8325;769.217162030164;2177.21716203016;78.7571620301638;8953
2008;64788342;300145;20785.78;38711.78;2867;372745
2008;25287249;33192;8382.4;8441.4;277;108627
2008;42937400;329348;30832.6818136636;35224.6818136636;1588.46181366362;509426
2008;18503527;429221;37948.47;48535.47;587;282352
2008;26342057;9914;582.6;997.6;77;25946
2008;884880;140896;-17097;-14620;3598;447908
2008;25843389;132769;6113.98;13399.98;2115;133658
2008;25245945;45430;8879.93;9783.93;453;105601
2008;46975764;89361;3420.8;8229.8;956;143848
2008;27508617;6616;-2986.55047523711;-2986.55047523711;396.449524762887;18565
2008;28410;67707;-3475.87067022847;-1164.87067022847;204.129329771529;69627
2008;60740582;44876;5381.97;8318.97;687;31249
2008;26436761;8755;1488.26;2188.26;71;20756
2008;45535396;6599;126.58;1137.58;46;22260
2008;27489060;3184;335.9;1272.9;91;18500
2008;62303449;9319;945.73;1590.73;166;23617
2008;26906724;91735;-5232;920;564;369771
2008;44567693;85407;4424.58;7670.58;2290;209983
2008;60875577;82543;4691.59;5635.59;1594;154826
2008;25191551;178985;-2879;4855;3549;486582
2008;60913037;195271;10861.48;21722.48;1846;153038
2008;27968251;2417;579.11;615.11;19;9931
2008;25293931;97333;2392.07;10509.07;1576;51101
2008;12099066;27924;2554.54;4004.54;164;63172
2008;27797619;48;-132.822419025862;-132.822419025862;0.177580974137912;56
2008;27137970;9762;244.55;418.55;130;10969
2008;26956594;4771;117.904353431025;515.904353431025;86.304353431025;9054
2008;12151271;114149;NA;NA;417;244509
2008;60108436;16851;1735.02;2363.02;520;13827
2008;25390236;22238;1599.47;6529.47;499;53848
2008;26411288;40844;-8145;-2799;588;134980
2008;48111678;93219;1597.24;3284.24;1395;233264
2008;25886398;1488;11;16;24;3498
